# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
compiler.ArtifactManagerBridge.getArtifacts.ms,1782188878040000000,1782188938052000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1782188878040000000,1782188938052000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1782188878040000000,1782188938052000000,0
compiler.ArtifactManagerBridge.commit.ms,1782188878040000000,1782188938052000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1782188878040000000,1782188938052000000,3
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1782188878040000000,1782188938052000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1782188878040000000,1782188938052000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1782188878040000000,1782188938052000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1782188878040000000,1782188938052000000,0
lexer.DTD.size.bytes,1782188878040000000,1782188938052000000,578
writeAction.wait.ms,1782188878040000000,1782188938052000000,40
lexer.Groovy.size.bytes,1782188878040000000,1782188938052000000,74779
lexer.DTD.time.ns,1782188878040000000,1782188938052000000,585542
DiskQueryRelay.taskWaitingTotalTimeUs,1782188878040000000,1782188938052000000,294686
writeAction.median.wait.ms,1782188878040000000,1782188938052000000,0
writeAction.count,1782188878040000000,1782188938052000000,9
parser.XML.time.ns,1782188878040000000,1782188938052000000,19
parser.Groovy.size.bytes,1782188878040000000,1782188938052000000,74779
LowMemory.gcOverloaded,1782188878040000000,1782188938052000000,0
parser.ECMAScript.6.size.bytes,1782188878040000000,1782188938052000000,3240
lexer.XML.time.ns,1782188878040000000,1782188938052000000,42328709
DiskQueryRelay.tasksRequested,1782188878040000000,1782188938052000000,153
DiskQueryRelay.taskExecutionTotalTimeUs,1782188878040000000,1782188938052000000,256205
LowMemory.gcLoad,1782188878040000000,1782188938052000000,5.41951963087877E-4
lexer.Groovy.time.ns,1782188878040000000,1782188938052000000,33359158
parser.ECMAScript.6.time.ns,1782188878040000000,1782188938052000000,13640126
parser.DTD.time.ns,1782188878040000000,1782188938052000000,2578291
parser.DTD.size.bytes,1782188878040000000,1782188938052000000,578
writeAction.max.wait.ms,1782188878040000000,1782188938052000000,37
lexer.ECMAScript.6.size.bytes,1782188878040000000,1782188938052000000,1716
parser.XML.size.bytes,1782188878040000000,1782188938052000000,7336
lexer.ECMAScript.6.time.ns,1782188878040000000,1782188938052000000,126708
lexer.XML.size.bytes,1782188878040000000,1782188938052000000,7336
parser.Groovy.time.ns,1782188878040000000,1782188938052000000,1191793127
DiskQueryRelay.tasksExecuted,1782188878040000000,1782188938052000000,153
Indexes.entries.lookupDuration90PMs,1782188878040000000,1782188938052000000,2.0
Indexes.allKeys.lookupDurationAvgMs,1782188878040000000,1782188938052000000,0.0
Indexes.stubs.lookupDurationMaxMs,1782188878040000000,1782188938052000000,2.0
Indexing.writer_1.totalTimeSpentWritingMs,1782188878040000000,1782188938052000000,16
Indexes.allKeys.lookupDurationMaxMs,1782188878040000000,1782188938052000000,0.0
Indexing.cache.totalCacheAccesses,1782188878040000000,1782188938052000000,8100
Indexing.writer_0.totalTimeSpentWritingMs,1782188878040000000,1782188938052000000,14
Indexing.cache.totalCacheMisses,1782188878040000000,1782188938052000000,1747
Indexes.stubs.lookupDurationAvgMs,1782188878040000000,1782188938052000000,0.06896551724137931
Indexing.writer_2.totalTimeSpentWritingMs,1782188878040000000,1782188938052000000,11
Indexing.cache.totalCacheEvicted,1782188878040000000,1782188938052000000,1730
Indexing.writesQueuedMin,1782188878040000000,1782188938052000000,0
Indexes.allKeys.lookups,1782188878040000000,1782188938052000000,1
Indexing.writer_3.totalTimeSpentWritingMs,1782188878040000000,1782188938052000000,1
Indexes.stubs.lookupDuration90PMs,1782188878040000000,1782188938052000000,0.0
Indexes.stubs.lookups,1782188878040000000,1782188938052000000,29
Indexing.writesQueuedMax,1782188878040000000,1782188938052000000,0
Indexes.entries.lookupDurationMaxMs,1782188878040000000,1782188938052000000,2.0
Indexes.entries.lookups,1782188878040000000,1782188938052000000,4
Indexes.allKeys.lookupDuration90PMs,1782188878040000000,1782188938052000000,0.0
Indexes.entries.lookupDurationAvgMs,1782188878040000000,1782188938052000000,1.0
Indexing.totalTimeIndexersSleptMs,1782188878040000000,1782188938052000000,0
Indexing.writesQueuedAvg,1782188878040000000,1782188938052000000,0.0
VFS.fileByIdCache.hits,1782188878040000000,1782188938052000000,0
VFS.cache.segments,1782188878040000000,1782188938052000000,111.0
VFS.cache.directoriesCreated,1782188878040000000,1782188938052000000,2716
VFS.contentStorage.recordsStoredCompressed,1782188878040000000,1782188938052000000,0
VFS.contentStorage.recordsStored,1782188878040000000,1782188938052000000,0
VFS.cache.segmentsCreated,1782188878040000000,1782188938052000000,111
VFS.contentStorage.recordsDecompressionTimeUs,1782188878040000000,1782188938052000000,0
VFS.cache.filesCreated,1782188878040000000,1782188938052000000,1609
VFS.invertedFileNameIndex.requests,1782188878040000000,1782188938052000000,7
VFS.folderCaseSensitivityReads,1782188878040000000,1782188938052000000,0
FileNameCache.queries,1782188878040000000,1782188938052000000,1156288
VFS.fileByIdCache.misses,1782188878040000000,1782188938052000000,87
VFS.contentStorage.recordsReadSize,1782188878040000000,1782188938052000000,9432
VFS.contentStorage.recordsUncompressedSize,1782188878040000000,1782188938052000000,0
FileNameCache.totalMisses,1782188878040000000,1782188938052000000,55552
VFS.contentStorage.recordsReadDecompressed,1782188878040000000,1782188938052000000,0
VFS.contentStorage.recordsDeduplicated,1782188878040000000,1782188938052000000,1
VFS.contentStorage.recordsRead,1782188878040000000,1782188938052000000,11
VFS.rootsCount,1782188878040000000,1782188938052000000,13.0
VFS.fileChildByName,1782188878040000000,1782188938052000000,4283
VFS.contentStorage.recordsStoredSize,1782188878040000000,1782188938052000000,0
workspaceModel.workspaceFileIndexData.instances.count,1782188878040000000,1782188938052000000,1
workspaceModel.cachedValueWithParameters.calculated.count,1782188878040000000,1782188938052000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1782188878040000000,1782188938052000000,556
workspaceModel.init.bridges.ms,1782188878040000000,1782188938052000000,6
workspaceModel.updates.ms,1782188878040000000,1782188938052000000,39
workspaceModel.cachedValue.clear.count,1782188878040000000,1782188938052000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1782188878040000000,1782188938052000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1782188878040000000,1782188938052000000,22
workspaceModel.workspaceFileIndexData.processFileSets.ms,1782188878040000000,1782188938052000000,0
workspaceModel.updates.precise.ms,1782188878040000000,1782188938052000000,7
workspaceModel.loading.from.cache.ms,1782188878040000000,1782188938052000000,117
workspaceModel.check.recursive.update.ms,1782188878040000000,1782188938052000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1782188878040000000,1782188938052000000,0
workspaceModel.on.changed.ms,1782188878040000000,1782188938052000000,9
workspaceModel.to.snapshot.ms,1782188878040000000,1782188938052000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1782188878040000000,1782188938052000000,0
workspaceModel.update.unloaded.entities.ms,1782188878040000000,1782188938052000000,0
workspaceModel.pre.handlers.ms,1782188878040000000,1782188938052000000,3
workspaceModel.initializing.ms,1782188878040000000,1782188938052000000,6
workspaceModel.updates.count,1782188878040000000,1782188938052000000,3
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1782188878040000000,1782188938052000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1782188878040000000,1782188938052000000,0
workspaceModel.cachedValue.calculated.count,1782188878040000000,1782188938052000000,14
workspaceModel.loading.total.ms,1782188878040000000,1782188938052000000,123
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1782188878040000000,1782188938052000000,45
workspaceModel.collect.changes.ms,1782188878040000000,1782188938052000000,0
workspaceModel.replace.project.model.ms,1782188878040000000,1782188938052000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1782188878040000000,1782188938052000000,6
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1782188878040000000,1782188938052000000,69
workspaceModel.on.before.changed.ms,1782188878040000000,1782188938052000000,15
workspaceModel.cachedValue.from.cache.count,1782188878040000000,1782188938052000000,66
workspaceModel.cachedValue.total.get.count,1782188878040000000,1782188938052000000,80
workspaceModel.workspaceFileIndexData.init.ms,1782188878040000000,1782188938052000000,36
workspaceModel.cachedValueWithParameters.clear.count,1782188878040000000,1782188938052000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1782188878040000000,1782188938052000000,1
workspaceModel.full.replace.project.model.ms,1782188878040000000,1782188938052000000,3
cacheStateStorage.set.duration,1782188878040000000,1782188938052000000,8
cacheStateStorage.get.duration,1782188878040000000,1782188938052000000,44
cacheStateStorage.set.counter,1782188878040000000,1782188938052000000,3
cacheStateStorage.get.counter,1782188878040000000,1782188938052000000,30
workspaceModel.moduleManagerBridge.get.modules.ms,1782188878040000000,1782188938052000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1782188878040000000,1782188938052000000,2
workspaceModel.orphan.listener.update.ms,1782188878040000000,1782188938052000000,2
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1782188878040000000,1782188938052000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1782188878040000000,1782188938052000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1782188878040000000,1782188938052000000,0
jps.global.get.library.by.name.ms,1782188878040000000,1782188938052000000,0
jps.global.get.library.ms,1782188878040000000,1782188938052000000,0
workspaceModel.moduleBridge.update.option.ms,1782188878040000000,1782188938052000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1782188878040000000,1782188938052000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1782188878040000000,1782188938052000000,0
jps.module.iml.entities.serializer.save.entities.ms,1782188878040000000,1782188938052000000,0
workspaceModel.moduleBridge.before.changed.ms,1782188878040000000,1782188938052000000,0
jps.facet.change.listener.process.change.events.ms,1782188878040000000,1782188938052000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1782188878040000000,1782188938052000000,0
jps.global.initialize.library.bridges.after.loading.ms,1782188878040000000,1782188938052000000,1
jps.load.project.to.empty.storage.ms,1782188878040000000,1782188938052000000,48
workspaceModel.global.updates.count,1782188878040000000,1782188938052000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1782188878040000000,1782188938052000000,0
jps.global.get.libraries.ms,1782188878040000000,1782188938052000000,6
workspaceModel.moduleManagerBridge.load.all.modules.ms,1782188878040000000,1782188938052000000,17
workspaceModel.moduleBridge.facet.initialization.ms,1782188878040000000,1782188938052000000,10
jps.load.initial.state.ms,1782188878040000000,1782188938052000000,17
workspaceModel.mutableEntityStorage.remove.entity.ms,1782188878040000000,1782188938052000000,0
jps.facet.change.listener.init.bridge.ms,1782188878040000000,1782188938052000000,1
workspaceModel.global.updates.ms,1782188878040000000,1782188938052000000,3
workspaceModel.mutableEntityStorage.resolve.ms,1782188878040000000,1782188938052000000,0
jps.apply.loaded.storage.ms,1782188878040000000,1782188938052000000,7
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1782188878040000000,1782188938052000000,0
workspaceModel.do.save.caches.ms,1782188878040000000,1782188938052000000,129
jps.library.entities.serializer.load.entities.ms,1782188878040000000,1782188938052000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1782188878040000000,1782188938052000000,3
jps.save.changed.project.entities.ms,1782188878040000000,1782188938052000000,0
jps.global.handle.changed.events.ms,1782188878040000000,1782188938052000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1782188878040000000,1782188938052000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1782188878040000000,1782188938052000000,3
workspaceModel.mutableEntityStorage.put.entity.ms,1782188878040000000,1782188938052000000,5
workspaceModel.delayed.project.synchronizer.sync.ms,1782188878040000000,1782188938052000000,57
workspaceModel.mutableEntityStorage.modify.entity.ms,1782188878040000000,1782188938052000000,0
workspaceModel.mutableEntityStorage.instances.count,1782188878040000000,1782188938052000000,34
jps.facet.change.listener.before.change.events.ms,1782188878040000000,1782188938052000000,0
workspaceModel.load.cache.from.file.ms,1782188878040000000,1782188938052000000,118
jps.artifact.entities.serializer.save.entities.ms,1782188878040000000,1782188938052000000,0
jps.artifact.entities.serializer.load.entities.ms,1782188878040000000,1782188938052000000,0
workspaceModel.global.apply.state.to.project.ms,1782188878040000000,1782188938052000000,47
workspaceModel.mutableEntityStorage.has.same.entities.ms,1782188878040000000,1782188938052000000,0
workspaceModel.sync.entities.ms,1782188878040000000,1782188938052000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1782188878040000000,1782188938052000000,1
workspaceModel.mutableEntityStorage.hasReferrers.ms,1782188878040000000,1782188938052000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1782188878040000000,1782188938052000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1782188878040000000,1782188938052000000,8
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1782188878040000000,1782188938052000000,3
jps.project.serializers.save.ms,1782188878040000000,1782188938052000000,0
jps.storage.jps.conf.reader.load.component.ms,1782188878040000000,1782188938052000000,2
jps.project.serializers.load.ms,1782188878040000000,1782188938052000000,18
workspaceModel.save.cache.to.file.ms,1782188878040000000,1782188938052000000,130
workspaceModel.moduleManagerBridge.build.module.graph.ms,1782188878040000000,1782188938052000000,1
workspaceModel.moduleBridgeLoader.loading.modules.ms,1782188878040000000,1782188938052000000,257
jps.app.storage.content.reader.load.component.ms,1782188878040000000,1782188938052000000,2
